[-0.8501055537532106, -0.08043567572193767]
[-0.8482394177447788, -0.08084726550914853]
[-0.8463597493711577, -0.08125756549156712]
[-0.8444664911489727, -0.08166656072539463]
[-0.8425595848082871, -0.08207423606822607]
[-0.8406389712795412, -0.08248057617498572]
[-0.8387045906801875, -0.08288556549376026]
[-0.8367563823010107, -0.0832891882615267]
[-0.8347942845921268, -0.08369142849977136]
[-0.8328182351486489, -0.08409227000999686]
[-0.8308281706960132, -0.08449169636911352]
[-0.8288240270749518, -0.08488969092471126]
[-0.8268057392261053, -0.08528623679020846]
[-0.8247732411742624, -0.08568131683987379]
[-0.8227264660122162, -0.08607491370371671]
[-0.8206653458842271, -0.08646700976224249]
[-0.8185898119690772, -0.08685758714106745]
[-0.8164997944627068, -0.08724662770538964]
[-0.8143952225604206, -0.08763411305431033]
[-0.812276024438648, -0.08802002451500107]
[-0.8101421272362447, -0.08840434313671167]
[-0.8079934570353242, -0.08878704968461316]
[-0.8058299388416005, -0.08916812463347074]
[-0.8036514965642287, -0.08954754816114033]
[-0.8014580529951292, -0.08992530014188319]
[-0.7992495297877756, -0.09030136013949218]
[-0.7970258474354328, -0.09067570740022292]
[-0.7947869252488251, -0.09104832084552339]
[-0.7925326813332184, -0.09141917906455478]
[-0.7902630325648945, -0.0917882603064961]
[-0.7879778945670004, -0.09215554247262513]
[-0.7856771816847518, -0.09252100310816733]
[-0.7833608069599665, -0.09288461939390502]
[-0.7810286821049096, -0.09324636813753745]
[-0.7786807174754249, -0.09360622576478313]
[-0.7763168220433291, -0.09396416831021484]
[-0.7739369033680433, -0.09432017140781761]
[-0.7715408675674381, -0.0946742102812592]
[-0.7691286192878605, -0.09502625973386249]
[-0.7667000616733207, -0.09537629413826837]
[-0.7642550963338045, -0.09572428742577799]
[-0.761793623312681, -0.09607021307536125]
[-0.7593155410531787, -0.09641404410231967]
[-0.7568207463638901, -0.09675575304658969]
[-0.7543091343832746, -0.09709531196067264]
[-0.7517805985431228, -0.09743269239717668]
[-0.7492350305309419, -0.09776786539595594]
[-0.7466723202512278, -0.09810080147082977]
[-0.7440923557855788, -0.09843147059586665]
[-0.7414950233516089, -0.09875984219121439]
[-0.7388802072606176, -0.09908588510845838]
[-0.7362477898739671, -0.09940956761548893]
[-0.7335976515581205, -0.09973085738085725]
[-0.7309296706382872, -0.10004972145759922]
[-0.728243723350625, -0.10036612626650404]
[-0.7255396837929412, -0.10068003757880559]
[-0.7228174238738333, -0.10099142049827114]
[-0.7200768132602122, -0.10130023944266207]
[-0.7173177193231381, -0.10160645812453968]
[-0.7145400070819079, -0.1019100395313876]
[-0.7117435391463176, -0.10221094590502129]
[-0.7089281756570321, -0.10250913872025293]
[-0.706093774223981, -0.10280457866277906]
[-0.7032401898627001, -0.10309722560625607]
[-0.7003672749285353, -0.10338703858852727]
[-0.6974748790486168, -0.10367397578696268]
[-0.6945628490515124, -0.1039579944928715]
