[1.9017878856284802, 0.13765676596588022]
[1.9010740059003695, 0.13813091421067086]
[1.9003574167814634, 0.13860486559259336]
[1.899638116391095, 0.13907861922451972]
[1.8989161028395123, 0.1395521742170481]
[1.8981913742278498, 0.140025529678489]
[1.8974639286480992, 0.1404986847148515]
[1.8967337641830748, 0.14097163842982938]
[1.8960008789063871, 0.14144438992478717]
[1.8952652708824105, 0.14191693829874608]
[1.8945269381662526, 0.1423892826483698]
[1.8937858788037218, 0.14286142206795047]
[1.8930420908312975, 0.14333335564939423]
[1.892295572276097, 0.1438050824822069]
[1.8915463211558448, 0.1442766016534795]
[1.8907943354788392, 0.14474791224787378]
[1.8900396132439223, 0.14521901334760756]
[1.889282152440445, 0.1456899040324401]
[1.8885219510482367, 0.14616058337965715]
[1.8877590070375696, 0.14663105046405633]
[1.8869933183691274, 0.14710130435793178]
[1.8862248829939727, 0.14757134413105957]
[1.8854536988535116, 0.14804116885068236]
[1.8846797638794608, 0.14851077758149403]
[1.883903075993815, 0.1489801693856246]
[1.883123633108809, 0.1494493433226248]
[1.882341433126887, 0.14991829844945045]
[1.8815564739406658, 0.15038703382044705]
[1.8807687534329014, 0.15085554848733382]
[1.8799782694764524, 0.15132384149918834]
[1.8791850199342452, 0.1517919119024304]
[1.8783890026592391, 0.15225975874080613]
[1.87759021549439, 0.15272738105537192]
[1.8767886562726137, 0.1531947778844783]
[1.875984322816751, 0.15366194826375376]
[1.87517721293953, 0.1541288912260883]
[1.8743673244435295, 0.1545956058016171]
[1.8735546551211424, 0.1550620910177039]
[1.872739202754539, 0.1555283458989245]
[1.871920965115628, 0.15599436946704973]
[1.8710999399660198, 0.15646016074102895]
[1.870276125056988, 0.15692571873697292]
[1.8694495181294324, 0.1573910424681368]
[1.868620116913839, 0.157856130944903]
[1.8677879191302422, 0.158320983174764]
[1.8669529224881853, 0.15878559816230484]
[1.8661151246866816, 0.15924997490918577]
[1.8652745234141745, 0.1597141124141247]
[1.8644311163484986, 0.1601780096728794]
[1.8635849011568382, 0.16064166567822988]
[1.8627358754956886, 0.1611050794199602]
[1.8618840370108145, 0.16156824988484086]
[1.86102938333721, 0.16203117605661044]
[1.860171912099056, 0.16249385691595727]
[1.8593116209096816, 0.16295629144050128]
[1.8584485073715193, 0.16341847860477543]
[1.8575825690760652, 0.1638804173802072]
[1.8567138036038364, 0.1643421067350998]
[1.8558422085243274, 0.16480354563461347]
[1.8549677813959689, 0.16526473304074635]
[1.8540905197660844, 0.16572566791231563]
[1.853210421170846, 0.1661863492049383]
[1.8523274831352319, 0.16664677587101184]
[1.8514417031729817, 0.16710694685969474]
[1.850553078786553, 0.16756686111688707]
[1.8496616074670769, 0.1680265175852109]
[1.8487672866943112, 0.1684859152039901]
[1.8478701139365987, 0.16894505290923081]
[1.8469700866508192, 0.16940392963360132]
[1.8460672022823452, 0.16986254430641176]
[1.8451614582649951, 0.1703208958535939]
[1.844252852020988, 0.17077898319768053]
[1.8433413809608956, 0.17123680525778517]
[1.8424270424835967, 0.17169436094958118]
[1.8415098339762295, 0.17215164918528097]
[1.8405897528141428, 0.17260866887361478]
[1.839666796360851, 0.17306541891981003]
[1.838740961967984, 0.17352189822556974]
[1.837812246975238, 0.17397810568905117]
[1.8368806487103284, 0.17443404020484427]
[1.8359461644889403, 0.17488970066395002]
[1.835008791614679, 0.1753450859537588]
[1.8340685273790183, 0.17580019495802815]
[1.8331253690612537, 0.17625502655686065]
[1.8321793139284492, 0.1767095796266819]
[1.8312303592353878, 0.17716385304021798]
[1.8302785022245203, 0.17761784566647282]
[1.829323740125914, 0.17807155637070554]
[1.8283660701571987, 0.17852498401440772]
[1.8274054895235181, 0.17897812745528016]
[1.8264419954174749, 0.1794309855472099]
[1.8254755850190783, 0.1798835571402467]
[1.8245062554956901, 0.1803358410805797]
[1.823534004001973, 0.18078783621051386]
[1.8225588276798352, 0.18123954136844586]
[1.8215807236583759, 0.18169095538884047]
[1.8205996890538303, 0.1821420771022061]
[1.819615720969517, 0.18259290533507075]
[1.8186288164957791, 0.1830434389099575]
[1.817638972709931, 0.18349367664535973]
[1.8166461866762, 0.18394361735571654]
[1.8156504554456725, 0.18439325985138758]
[1.8146517760562337, 0.18484260293862806]
[1.8136501455325134, 0.1852916454195634]
[1.8126455608858254, 0.18574038609216362]
[1.8116380191141108, 0.18618882375021792]
[1.8106275172018802, 0.18663695718330853]
[1.809614052120153, 0.18708478517678492]
[1.8085976208263987, 0.18753230651173747]
[1.8075782202644783, 0.1879795199649712]
[1.8065558473645817, 0.18842642430897902]
[1.8055304990431689, 0.1888730183119151]
[1.8045021722029086, 0.18931930073756795]
